grain,series_id,item_code,label,sb_class,total_qty_hist,model,model_params,rmsse,mase,smape,n_trials,n_backtest_folds,acc_change_vs_prev,large_threshold,p_large_week,p_large_4w,expected_large_size,last_large_week,customer,channel
sku_customer,sku_customer::1009303|GOLDKEY TECHNOLOGY CORPORATION,1009303,교체형,lumpy,46824.0,croston,{'alpha': 0.1},43.344732467106645,307.2401326591211,1.9958231936237125,10,6,,36358.200000000004,0.1024,0.35087045613322254,44989.0,2026-05-18,GOLDKEY TECHNOLOGY CORPORATION,
sku_customer,sku_customer::2019490|PATRIOT MEMORY INC.,2019490,교체형,lumpy,46769.0,sba,{'alpha': 0.05},0.02597268646103054,0.12434045337422134,2.0,11,6,0.013652508966809458,14900.000000000002,8.71122859318147e-06,3.484445906221101e-05,20100.0,2025-07-28,PATRIOT MEMORY INC.,
sku_customer,"sku_customer::2018195|Hotop Technologies, Inc.",2018195,교체형,intermittent,46680.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",6.1562949672878775e-09,4.078074931363466e-08,2.0,11,6,,31502.4,6.365738459463086e-11,2.5462965069777965e-10,36944.0,2024-07-22,"Hotop Technologies, Inc.",
sku_customer,sku_customer::2016929|PINE INFO CO LTD,2016929,교체형,lumpy,46619.0,sba,{'alpha': 0.3},0.12707186196900838,0.35154801931055707,1.3308854159677392,11,6,-0.048942000837237376,4697.800000000001,8.277266650995788e-07,3.310902549569228e-06,6075.0,2025-05-05,PINE INFO CO LTD,
sku_customer,sku_customer::2018958|Eternal International (HK) Ltd.,2018958,교체형,lumpy,46082.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.007169701639599621,0.04290213712464853,2.0,11,6,-0.5847631037275749,16584.40000000001,4.789048565267494e-07,1.9156180500745634e-06,33190.0,2025-04-28,Eternal International (HK) Ltd.,
sku_customer,"sku_customer::1009223|HONGKONG SHICHUANGYI CO., LIMITED",1009223,교체형,lumpy,45961.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",7.792202931298099e-06,5.6085911833560524e-05,2.0,11,6,,33497.0,5.986310706568349e-07,2.3945221322430044e-06,40508.0,2025-05-05,"HONGKONG SHICHUANGYI CO., LIMITED",
sku_customer,sku_customer::2018696|PATRIOT MEMORY INC.,2018696,교체형,lumpy,45847.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",2.105558350930261e-08,1.6729702781559867e-07,2.0,11,6,,36169.4,2.826955311668001e-09,1.1307821345951652e-08,45000.0,2024-11-18,PATRIOT MEMORY INC.,
sku_customer,sku_customer::1006749|MF WAREHOUSING & LOGISTICS,1006749,교체형,intermittent,44718.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",3.374112226264493e-13,2.0023701274010744e-12,2.0,11,6,,26039.4,1.3250153495506577e-14,5.284661597215745e-14,28493.0,2023-10-30,MF WAREHOUSING & LOGISTICS,
sku_customer,"sku_customer::2019419|Hosin Global (HK) Electronics Co.,",2019419,교체형,intermittent,44042.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.733889358190394,10.054249760688448,0.7568382804247545,11,6,0.25534950256957784,14007.000000000002,0.06553600000000001,0.23748164938676908,17280.0,2026-05-04,"Hosin Global (HK) Electronics Co.,",
sku_customer,sku_customer::1008763|MF WAREHOUSING & LOGISTICS,1008763,교체형,lumpy,44000.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.6013640745450516e-12,9.389159035216113e-12,2.0,11,6,,22000.0,1.8253183137151213e-15,7.105427357601002e-15,30000.0,2023-08-28,MF WAREHOUSING & LOGISTICS,
sku_customer,sku_customer::2019394|Eternal International (HK) Ltd.,2019394,교체형,intermittent,43961.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.001425357932630071,0.005015065264887389,2.0,11,6,-0.5847631037275748,9987.0,3.0152679147468873e-05,0.00012060526159540785,9993.5,2025-09-01,Eternal International (HK) Ltd.,
sku_customer,sku_customer::2018332|PINE INFO CO LTD,2018332,교체형,intermittent,43415.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.009348153415585387,0.02194581921861964,2.0,11,6,-0.5847631037275749,3000.0,0.0001960007862356933,0.0007837726772106368,3471.1666666666665,2025-10-20,PINE INFO CO LTD,
sku_customer,"sku_customer::2017389|Hotop Technologies, Inc.",2017389,교체형,intermittent,43200.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",4.859683649881682e-09,2.7812206017562147e-08,2.0,11,6,,21600.0,1.631220318765882e-10,6.52488285624031e-10,21600.0,2024-08-05,"Hotop Technologies, Inc.",
sku_customer,sku_customer::2017384|EVERBOND ELECTRONICS LIMITED,2017384,교체형,intermittent,42988.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",6.328094224284122e-07,3.4831758623631597e-06,2.0,11,6,,20808.8,7.957172798750774e-11,3.182867303053172e-10,21600.0,2024-07-29,EVERBOND ELECTRONICS LIMITED,
sku_customer,"sku_customer::1008098|World Pacific Industrial H.K., Ltd.",1008098,교체형,intermittent,41904.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.4505246981833353e-10,5.652452592654097e-10,2.0,11,6,,9459.6,5.4681395143849005e-12,2.1872725852745134e-11,14650.0,2024-05-06,"World Pacific Industrial H.K., Ltd.",
sku_customer,"sku_customer::1009888|Hosin Global (HK) Electronics Co.,",1009888,교체형,intermittent,41410.0,tsb,"{'alpha': 0.1, 'beta': 0.1}",1.2385831672390104,10.085190588374644,1.4870677161990618,11,6,0.7092263305399501,21709.4,0.010995116277760002,0.04326041191623786,22379.0,2026-03-09,"Hosin Global (HK) Electronics Co.,",
sku_customer,sku_customer::1007368|Korchina Logistics (H.K) Ltd,1007368,교체형,intermittent,41288.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",2.3756585657227243e-14,1.3596326701932546e-13,2.0,11,6,,20728.6,4.953946674085439e-16,1.7763568394002505e-15,20785.0,2023-06-19,Korchina Logistics (H.K) Ltd,
sku_customer,"sku_customer::2013848|XINRONGDA CO., Limited",2013848,교체형,intermittent,41265.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",4.236650997048825e-07,2.5725914967599196e-06,2.0,11,6,,25022.4,2.1062458340884572e-08,8.424983066745995e-08,27949.0,2025-01-20,"XINRONGDA CO., Limited",
sku_customer,sku_customer::2017382|EVERBOND ELECTRONICS LIMITED,2017382,교체형,intermittent,40618.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.1186723885793508e-06,5.892884183639643e-06,2.0,11,6,,18040.600000000002,4.4171176697628414e-09,1.76684705754937e-08,23367.0,2024-12-02,EVERBOND ELECTRONICS LIMITED,
sku_customer,sku_customer::1007826|Mei Tong Development Investment Ltd,1007826,교체형,intermittent,40443.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.5556382588335465e-06,1.0391339163542352e-05,2.0,11,6,,27524.4,9.762946846732407e-16,3.9968028886505635e-15,32393.0,2023-08-07,Mei Tong Development Investment Ltd,
sku_customer,"sku_customer::2017239|XINRONGDA CO., Limited",2017239,교체형,lumpy,40436.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",5.006904356350806e-07,1.6956304195204448e-06,2.0,11,6,,7767.200000000001,2.668278025201532e-15,1.0658141036401503e-14,9596.5,2023-09-04,"XINRONGDA CO., Limited",
